ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
ANDREJCI,Prodaja,Hiša,Samostojna,1971,,140.3,39900.0,
"ANDREJCI, 5 KM VOŽNJE DO MORAVSKIH TOPLIC",Prodaja,Vikend,Bivalen,1990,,100.0,80000.0,
ANDRENCI,Prodaja,Hiša,Samostojna,1962,,65.2,70000.0,
ANDRENCI,Prodaja,Hiša,Samostojna,1890,,119.8,28000.0,
ANDRENCI,Prodaja,Hiša,Samostojna,1907,,6611.0,29500.0,
ANKARAN,Prodaja,Stanovanje,dvosobno,1976,,40.3,129000.0,
ANKARAN,Prodaja,Poslovni prostor,Ordinacija,1995,,46.0,88000.0,
ANKARAN,Prodaja,Stanovanje,Drugo,2009,,64.9,225000.0,
ANKARAN,Prodaja,Poslovni prostor,Drugo,1995,,69.4,140000.0,
ANKARAN,Prodaja,Poslovni prostor,Prostor za storitve,1995,,69.6,130000.0,
ANKARAN,Prodaja,Stanovanje,trisobno,1985,,76.0,176000.0,
ANKARAN,Prodaja,Stanovanje,trisobno,1985,,79.2,176000.0,
ANKARAN,Prodaja,Stanovanje,štirisobno,1984,,94.7,220000.0,
ANKARAN,Prodaja,Stanovanje,trisobno,2007,,106.7,365000.0,
ANKARAN,Prodaja,Poslovni prostor,Prostor za storitve,1995,,116.0,218000.0,
ANKARAN,Prodaja,Stanovanje,triinpolsobno,1972,,122.9,249000.0,
ANKARAN,Prodaja,Stanovanje,dvosobno,2000,,125.5,210000.0,
ANKARAN,Prodaja,Hiša,Vrstna,2012,,150.0,165000.0,
ANKARAN,Prodaja,Hiša,Samostojna,1820,,160.0,450000.0,
ANKARAN,Prodaja,Hiša,Samostojna,1820,,160.0,399000.0,
ANKARAN,Prodaja,Stanovanje,štirisobno,2000,,166.7,300000.0,
ANKARAN,Prodaja,Stanovanje,petsobno,2000,,171.6,290000.0,
ANKARAN,Prodaja,Hiša,Samostojna,1800,,174.0,415000.0,
ANKARAN,Prodaja,Hiša,Samostojna,1800,,174.4,450000.0,
ANKARAN,Prodaja,Hiša,Vrstna,1988,,189.6,320000.0,
ANKARAN,Prodaja,Hiša,Vrstna,1990,,205.0,330000.0,
ANKARAN,Prodaja,Stanovanje,triinpolsobno,1984,,220.0,320000.0,
